SK_ID_CURR,TARGET
100001,0.06946123277281642
100005,0.1243660674607262
100013,0.031057489496057657
100028,0.04799269063680614
100038,0.10487404412305812
100042,0.06734088728562986
100057,0.030008730492739312
100065,0.08201698690307234
100066,0.024978070233271546
100067,0.2119621431834739
100074,0.0806262023318845
100090,0.08313483184155394
100091,0.11223981112752142
100092,0.1843748106595364
100106,0.05687579710208599
100107,0.0956473680707124
100109,0.07800359090445218
100117,0.02906751384296725
100128,0.15418790243667013
100141,0.031944138894446396
100150,0.023902431741830415
100168,0.020716587811441572
100169,0.08951483763117676
100170,0.05482896562499326
100171,0.027684282267064264
100172,0.0884131779433288
100184,0.12579909302622108
100187,0.09124359871621968
100212,0.053937847393407824
100222,0.0869496285694066
100223,0.02626584421322551
100232,0.028515650849196956
100241,0.12302498952533504
100245,0.03531438896134897
100253,0.035431579721860305
100256,0.11073148076855881
100271,0.020138784173100693
100278,0.13050562792719037
100280,0.016347057176510617
100306,0.09151150030347427
100311,0.21027107610135298
100312,0.02404644254805084
100330,0.08032465094420425
100331,0.03689148330816668
100352,0.10256136647479232
100358,0.11059985265284705
100367,0.04355057087129253
100382,0.20870283325598715
100384,0.077494904909827
100385,0.10154903680248892
100386,0.052845830252341776
100399,0.04088212253739814
100404,0.1014706786861582
100416,0.030157317792037373
100422,0.05282465708890959
100426,0.07361200572603184
100438,0.03820620708004122
100444,0.10594810458352288
100445,0.08907165885484139
100446,0.16782068780116804
100447,0.042922404601325057
100450,0.06840718875061398
100466,0.04930512730852372
100483,0.048666140155870584
100484,0.026013405047698144
100494,0.07012692877248214
100510,0.14584769481089224
100512,0.03911781373182386
100517,0.028003197950552783
100548,0.0907893555997326
100551,0.046088894567217285
100552,0.10469476832644338
100553,0.024228508562522264
100561,0.24800107291067497
100568,0.30255261258238725
100569,0.04500572497974941
100591,0.04314846939212737
100592,0.022776373334181435
100602,0.05397500249651681
100607,0.04217252704430177
100613,0.05516456375132888
100617,0.14986782447738867
100618,0.08146201608845817
100622,0.10357416338892804
100625,0.07839260771470927
100677,0.11627886740499575
100699,0.05585601021442885
100702,0.34533171800855444
100711,0.15629286997097774
100729,0.14017280659421646
100740,0.09613812252466122
